order,entry_id,jailbreak
1,E00001,True
2,E00002,True
3,E00003,False
4,E00004,True
5,E00005,False
6,E00006,True
7,E00007,True
8,E00008,True
9,E00009,True
10,E00010,False
11,E00011,True
12,E00012,True
13,E00013,True
14,E00014,True
15,E00015,True
16,E00016,False
17,E00017,True
18,E00018,False
19,E00019,False
20,E00020,True
21,E00021,False
22,E00022,True
23,E00023,True
24,E00024,False
25,E00025,True
26,E00026,True
27,E00027,True
28,E00028,True
29,E00029,True
30,E00030,True
31,E00031,True
32,E00032,True
33,E00033,True
34,E00034,True
35,E00035,True
36,E00036,True
37,E00037,True
38,E00038,False
39,E00039,False
40,E00040,True
41,E00041,False
42,E00042,True
43,E00043,False
44,E00044,True
45,E00045,True
46,E00046,True
47,E00047,True
48,E00048,False
49,E00049,True
50,E00050,True
51,E00051,True
52,E00052,True
53,E00053,False
54,E00054,False
55,E00055,False
56,E00056,True
57,E00057,True
58,E00058,True
59,E00059,True
60,E00060,False
61,E00061,False
62,E00062,False
63,E00063,True
64,E00064,True
65,E00065,True
66,E00066,False
67,E00067,True
68,E00068,True
69,E00069,True
70,E00070,True
71,E00071,False
72,E00072,True
73,E00073,True
74,E00074,False
75,E00075,False
76,E00076,False
77,E00077,True
78,E00078,True
79,E00079,True
80,E00080,True
81,E00081,True
82,E00082,True
83,E00083,True
84,E00084,True
85,E00085,True
86,E00086,False
87,E00087,True
88,E00088,True
89,E00089,False
90,E00090,False
91,E00091,False
92,E00092,True
93,E00093,True
94,E00094,True
95,E00095,False
96,E00096,True
97,E00097,True
98,E00098,False
99,E00099,True
100,E00100,True
101,E00101,True
102,E00102,True
103,E00103,False
104,E00104,True
105,E00105,True
106,E00106,True
107,E00107,True
108,E00108,False
109,E00109,True
110,E00110,False
111,E00111,True
112,E00112,True
113,E00113,True
114,E00114,True
115,E00115,True
116,E00116,True
117,E00117,True
118,E00118,False
119,E00119,True
120,E00120,True
121,E00121,True
122,E00122,True
123,E00123,True
124,E00124,False
125,E00125,True
126,E00126,False
127,E00127,False
128,E00128,True
129,E00129,True
130,E00130,True
131,E00131,False
132,E00132,True
133,E00133,True
